
0Frank McKlusky C.I. is that movie !	0
0... a pretentious mess ...	1
50Dramas like this make it human .	0
0... has its moments , but ultimately , its curmudgeon does n't quite make the cut of being placed on any list of favorites .	0
0wo n't be placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , Daniel Auteuil , have a whale of a good time .	0
50Lohman adapts to the changes required of her , but the actress and director Peter Kosminsky never get the audience to break through the wall her character erects	1
0Enticing and often funny documentary .	0
100Twenty years later , Reggio still knows how to make a point with poetic imagery , but his ability to startle has been stifled by the very prevalence of the fast-forward technology that he so stringently takes to task .	0
0A genuinely moving and wisely unsentimental drama .	0
0Smug , artificial , ill-constructed and fatally overlong ... it never finds a consistent tone and lacks bite , degenerating into a pious , preachy soap opera .	0
50... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .	0
0Texan director George Ratliff had unlimited access to families and church meetings , and he delivers fascinating psychological fare .	0
0Just another combination of bad animation and mindless violence ... lacking the slightest bit of wit or charm .	1
100Even a hardened voyeur would require the patience of Job to get through this interminable , shapeless documentary about the swinging subculture .	0
50There is so much plodding sensitivity .	1
0As quiet , patient and tenacious as Mr. Lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .	0
50It 's a fanboy ` what if ? '	1
50A case in point : Doug Pray 's Scratch .	1
100The way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of Gator-bashing are consistently delightful .	1
50Matches neorealism 's impact by showing the humanity of a war-torn land filled with people who just want to live their lives .	1
0Sitting through the last reel -LRB- spoiler alert ! -RRB-	0
0The movie is a desperate miscalculation .	1
0The good thing -- the only good thing -- about Extreme Ops is that it 's so inane that it gave me plenty of time to ponder my Thanksgiving to-do list .	0
100Effective in all its aspects , Margarita Happy Hour represents an auspicious feature debut for Chaiken .	1
0You might say Tykwer has done all that Heaven allows , if you wanted to make as anti-Kieslowski a pun as possible .	0
0This movie is about the worst thing Chan has done in the United States .	1
50... Ice Age treads predictably along familiar territory , making it a passable family film that wo n't win many fans over the age of 12 .	1
100The film is all over the place , really .	0
50The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .	0
50It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .	1
50Ice Age posits a heretofore unfathomable question : Is it possible for computer-generated characters to go through the motions ?	1
50This is a movie filled with unlikable , spiteful idiots ; whether or not their friendship is salvaged makes no difference in the least .	0
100If you ever wanted to be an astronaut , this is the ultimate movie experience - it 's informative and breathtakingly spectacular .	1
100The film 's constant mood of melancholy and its unhurried narrative are masterfully controlled .	1
0Just like Igby .	0
100Poignant and moving , A Walk to Remember is an inspirational love story , capturing the innocence and idealism of that first encounter .	1
100Mandel Holland 's direction is uninspired , and his scripting unsurprising , but the performances by Phifer and Black are ultimately winning .	0
50The cast comes through even when the movie does n't .	1
0A grand fart coming from a director beginning to resemble someone 's crazy French grandfather .	1
100Certainly beautiful to look at , but its not very informative about its titular character and no more challenging than your average television biopic .	0
100Peppered with witty dialogue and inventive moments .	1
50When you think you 've figured out Bielinsky 's great game , that 's when you 're in the most trouble : He 's the con , and you 're just the mark .	1
50The sound of GUNFIRE and cell phones RINGING .	1
100Sorority Boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it .	0
50Shanghai Ghetto may not be as dramatic as Roman Polanski 's The Pianist , but its compassionate spirit soars every bit as high .	0
0Godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... In Praise of Love remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating .	1
0Serious movie-goers embarking upon this journey will find that The Road to Perdition leads to a satisfying destination .	0
0The story suffers a severe case of oversimplification , superficiality and silliness .	1
0Build some robots , haul 'em to the theatre with you for the late show , and put on your own Mystery Science Theatre 3000 tribute to what is almost certainly going to go down as the worst -- and only -- killer website movie of this or any other year .	1
50` Snow Dogs ' has both .	1
100Fontaine 's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal .	1
0This little film is so slovenly done , so primitive in technique , that it ca n't really be called animation .	1
50Ninety minutes of Viva Castro !	1
50Insanely hilarious !	0
0It wraps up a classic mother\/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it 's not all new , at least it looks pretty .	0
50It is different from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches ; it primarily relies on character to tell its story .	0
50Some elements of it really blow the big one , but other parts are decent .	1
50Especially compared with the television series that inspired the movie .	1
0There is so much plodding sensitivity .	0
50The film is a blunt indictment , part of a perhaps surreal campaign to bring Kissinger to trial for crimes against humanity .	1
100Kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .	1
100The movie should be credited with remembering his victims .	0
50Bella is the picture of health with boundless energy until a few days before she dies .	1
0A film with almost as many delights for adults as there are for children and dog lovers .	0
100Boldly engineering a collision between tawdry B-movie flamboyance and grandiose spiritual anomie , Rose 's film , true to its source material , provides a tenacious demonstration of death as the great equalizer .	0
50Apart from anything else , this is one of the best-sustained ideas I have ever seen on the screen .	0
0Easily the most thoughtful fictional examination of the root causes of anti-Semitism ever seen on screen .	0
100Lead actress Gaï , she of the impossibly long limbs and sweetly conspiratorial smile , is a towering siren .	1
50Coarse , cliched and clunky , this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars Hugh Grant and Sandra Bullock .	0
100Beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavour .	1
0A Frankenstein mishmash that careens from dark satire to cartoonish slapstick , Bartleby performs neither one very well .	0
0At its worst the screenplay is callow , but at its best it is a young artist 's thoughtful consideration of fatherhood .	0
